epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
31,5649,-1.615391492843628,5.183222770690918,38.79077911376953,,,
31,5699,-1.2842214107513428,6.496858596801758,83.15695190429688,,,
31,5749,-1.3441829681396484,6.160438537597656,72.43309783935547,,,
31,5759,,,,-1.3436377048492432,6.947780609130859,74.34486389160156
32,5799,-1.0442521572113037,9.828116416931152,144.5,,,
32,5849,-1.4063105583190918,6.5893049240112305,62.77827835083008,,,
32,5899,-1.6866341829299927,4.847429275512695,32.921974182128906,,,
32,5939,,,,-1.1825398206710815,8.182252883911133,108.52669525146484
33,5949,-0.8719289898872375,11.332098960876465,214.87753295898438,,,
33,5999,-1.380149006843567,6.441623210906982,66.67623138427734,,,
33,6049,-1.3037596940994263,6.808999061584473,79.4987564086914,,,
33,6099,-1.147171139717102,6.686902046203613,114.01153564453125,,,
33,6119,,,,-0.7736473083496094,10.894852638244629,302.7411804199219
34,6149,-1.2842378616333008,7.448554039001465,83.15380859375,,,
34,6199,-1.4315698146820068,6.398728370666504,59.23115539550781,,,
34,6249,-1.0635130405426025,8.001155853271484,138.23147583007812,,,
34,6299,-1.514416217803955,5.811684608459473,48.94447326660156,,,
34,6299,,,,-1.3193727731704712,7.064688205718994,79.02032470703125
35,6349,-0.9760415554046631,9.990005493164062,169.0746307373047,,,
35,6399,-1.0602482557296753,8.455322265625,139.2745361328125,,,
35,6449,-1.4547028541564941,6.107105255126953,56.158714294433594,,,
35,6479,,,,-1.6710447072982788,4.976949214935303,35.111202239990234
36,6499,-1.4079164266586304,6.20798397064209,62.54657745361328,,,
36,6549,-1.5820543766021729,5.532641410827637,41.88568115234375,,,
36,6599,-1.372971534729004,6.612873554229736,67.78732299804688,,,
36,6649,-1.2218140363693237,6.948357582092285,96.00769805908203,,,
36,6659,,,,-1.0530236959457397,9.866924285888672,144.719482421875
37,6699,-1.2818844318389893,7.078948020935059,83.60563659667969,,,
37,6749,-0.56439208984375,19.182044982910156,436.242431640625,,,
37,6799,-0.8576099872589111,13.175239562988281,222.08030700683594,,,
37,6839,,,,-1.598684310913086,5.372374057769775,41.21454620361328
38,6849,-1.0306215286254883,9.556777954101562,149.10716247558594,,,
38,6899,-1.3585370779037476,6.809078216552734,70.07820129394531,,,
38,6949,-0.9070979952812195,8.80951976776123,198.16275024414062,,,
38,6999,-1.8125433921813965,3.9183034896850586,24.636375427246094,,,
38,7019,,,,-1.342404842376709,6.863476753234863,76.13615417480469
39,7049,-0.16438482701778412,23.627361297607422,1095.809814453125,,,
39,7099,-0.8597788214683533,11.243173599243164,220.9739990234375,,,
39,7149,-1.2355639934539795,7.543651580810547,93.01563262939453,,,
39,7199,-1.4560836553573608,5.873676776885986,55.98044967651367,,,
39,7199,,,,-1.596387267112732,5.465463638305664,41.28080749511719
40,7249,-1.5858378410339355,5.579536437988281,41.522369384765625,,,
40,7299,-1.2295255661010742,7.795188903808594,94.3179931640625,,,
40,7349,-1.0238643884658813,10.57152271270752,151.44522094726562,,,
40,7379,,,,-1.1371567249298096,8.404443740844727,122.0852279663086
41,7399,-1.6759001016616821,4.550716400146484,33.745819091796875,,,
41,7449,-1.686861276626587,4.899175643920898,32.90476608276367,,,
41,7499,-1.2898589372634888,7.552400588989258,82.0844955444336,,,
41,7549,-1.5815500020980835,5.053253173828125,41.93435287475586,,,
41,7559,,,,-1.521613359451294,5.8098907470703125,50.037479400634766
42,7599,-1.5547815561294556,5.4181671142578125,44.600364685058594,,,
42,7649,-1.3250054121017456,7.519266128540039,75.7032699584961,,,
42,7699,-1.2796120643615723,7.566635608673096,84.04425048828125,,,
42,7739,,,,-1.6073248386383057,5.318424224853516,40.764976501464844
43,7749,-1.6007812023162842,5.302136421203613,40.11796188354492,,,
43,7799,-1.288057565689087,7.056400775909424,82.42567443847656,,,
43,7849,-1.3454145193099976,7.021533966064453,72.22798156738281,,,
43,7899,-1.7860133647918701,4.487598896026611,26.188255310058594,,,
43,7919,,,,-0.8782013654708862,11.152473449707031,223.7602081298828
44,7949,-0.6717004179954529,13.943227767944336,340.7371826171875,,,
